       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  1041.000000        1041.0       1041.0  1041.000000  1041.000000  1041.000000     1041.0       1041.0  1041.000000  1041.000000  1041.000000           1041.000000       1041.0       1041.0   1041.000000        1041.000000   1041.000000           1041.000000  1041.000000  1041.000000  1041.0  1041.0
mean      3.366792           0.0          0.0     3.650355     3.558377     3.519337        0.0          0.0   166.290106   295.985293  2588.130644              3.665073          0.0        571.0    163.401537          97.731988    205.641691             22.077810     3.661537     3.390874     1.0     1.0
std       4.080368           0.0          0.0     0.180002     0.209600     0.250404        0.0          0.0   154.174746     0.058054  2351.257257              0.186904          0.0          0.0    101.208097          11.673698     67.584743              0.990676     0.176322     4.139958     0.0     0.0
min       0.000000           0.0          0.0     2.800000     2.470000     2.070000        0.0          0.0     0.000000   295.870000     0.000000              2.833000          0.0        571.0      0.000000          79.000000     32.000000             21.000000     2.980000     0.000000     1.0     1.0
25%       0.010000           0.0          0.0     3.480000     3.360000     3.250000        0.0          0.0     0.000000   295.930000     0.000000              3.502000          0.0        571.0     79.000000          79.000000    148.000000             21.000000     3.490000     0.000000     1.0     1.0
50%       0.230000           0.0          0.0     3.620000     3.570000     3.570000        0.0          0.0   270.000000   296.010000  4688.000000              3.629000          0.0        571.0    255.000000         105.000000    250.000000             23.000000     3.630000     0.000000     1.0     1.0
75%       9.190000           0.0          0.0     3.840000     3.770000     3.760000        0.0          0.0   330.000000   296.040000  4758.000000              3.856000          0.0        571.0    255.000000         105.000000    250.000000             23.000000     3.850000     9.170000     1.0     1.0
max       9.310000           0.0          0.0     3.880000     4.310000     5.250000        0.0          0.0   332.000000   296.100000  4973.000000              3.858000          0.0        571.0    255.000000         105.000000    250.000000             23.000000     3.880000    10.000000     1.0     1.0
