,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,835.0,835.0,835.0,835.0,835.0,835.0,835.0
mean,1.5229700598802394,3.877976047904191,3.8003473053892214,3.792970059880239,3.799389221556886,3.9999473053892216,3.890299401197605
std,0.03201907127098417,0.005483736687264985,0.005341938662846007,0.005960929093344584,0.005582228459419753,0.004667053954098031,0.0017052429029414003
min,1.45,3.86,3.78,3.77,3.78,3.984,3.89
25%,1.5,3.88,3.8,3.79,3.8,3.997,3.89
50%,1.52,3.88,3.8,3.79,3.8,4.001,3.89
75%,1.55,3.88,3.8,3.8,3.8,4.003,3.89
max,1.61,3.89,3.82,3.81,3.81,4.016,3.9
