,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0
mean,0.011235521235521236,4.43,4.360000000000001,4.3500000000000005,0.0,0.0,4.456625482625483,0.0,571.0,21.0
std,0.013781888070132049,0.0,8.898980310287494e-16,8.898980310287494e-16,0.0,0.0,0.0009290150962795871,0.0,0.0,0.0
min,0.0,4.43,4.36,4.35,0.0,0.0,4.456,0.0,571.0,21.0
25%,0.0,4.43,4.36,4.35,0.0,0.0,4.456,0.0,571.0,21.0
50%,0.01,4.43,4.36,4.35,0.0,0.0,4.456,0.0,571.0,21.0
75%,0.02,4.43,4.36,4.35,0.0,0.0,4.458,0.0,571.0,21.0
max,0.05,4.43,4.36,4.35,0.0,0.0,4.458,0.0,571.0,21.0
