,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,784.0,784.0,784.0,784.0,784.0,784.0,784.0
mean,36.395803571428566,3.2399744897959186,2.2694387755102037,2.4021301020408163,1.0496556122448981,3.3754170918367348,3.213545918367347
std,0.1395783366750209,0.007878344617722957,0.013549637293477218,0.01091840921378611,0.010492776528025301,0.007154793780045485,0.00605871093636609
min,36.09,3.23,2.23,2.37,1.02,3.362,3.2
25%,36.28,3.23,2.26,2.39,1.04,3.37,3.21
50%,36.4,3.24,2.27,2.4,1.05,3.375,3.21
75%,36.5,3.24,2.28,2.41,1.06,3.379,3.22
max,36.73,3.27,2.31,2.44,1.08,3.4,3.23
