,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
mean,0.0,3.699559748427673,3.628805031446541,3.6174842767295594,3.6199999999999997,0.0,3.813320754716981,0.0,65535.0,20.641509433962263
std,0.0,0.00205799212386263,0.0032539712590464913,0.004352876752700767,4.454923388118996e-16,0.0,0.0013702108990261126,0.0,0.0,2.593280066760487
min,0.0,3.69,3.62,3.61,3.62,0.0,3.811,0.0,65535.0,2.0
25%,0.0,3.7,3.63,3.615,3.62,0.0,3.812,0.0,65535.0,21.0
50%,0.0,3.7,3.63,3.62,3.62,0.0,3.813,0.0,65535.0,21.0
75%,0.0,3.7,3.63,3.62,3.62,0.0,3.815,0.0,65535.0,21.0
max,0.0,3.7,3.63,3.62,3.62,0.0,3.816,0.0,65535.0,21.0
