       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]           p      t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_      PT0106      FT0105  PV0106  SC0401
count   609.000000         609.0        609.0   609.000000    609.00000   609.000000      609.0        609.0  609.000000  609.000000   609.000000            609.000000        609.0        609.0    609.000000         609.000000    609.000000            609.000000  609.000000  609.000000   609.0   609.0
mean      1.787307           0.0          0.0     4.207750      4.12670     4.074286        0.0          0.0  170.239737  294.611215  2584.466338              4.238243          0.0        571.0    161.451560         111.467980    247.559934             22.021346    4.219704    1.803974     1.0     1.0
std       3.797447           0.0          0.0     0.250476      0.27708     0.348821        0.0          0.0  168.103611    0.029500  2456.055900              0.246739          0.0          0.0     99.063417           5.115062     19.813276              0.992341    0.240136    4.012992     0.0     0.0
min       0.000000           0.0          0.0     1.860000      1.75000     1.670000        0.0          0.0    0.000000  294.500000     0.000000              1.917000          0.0        571.0      0.000000         108.000000     80.000000             21.000000    2.000000    0.000000     1.0     1.0
25%       0.000000           0.0          0.0     4.260000      4.19000     4.180000        0.0          0.0    0.000000  294.610000     0.000000              4.289000          0.0        571.0     92.000000         108.000000    250.000000             21.000000    4.270000    0.000000     1.0     1.0
50%       0.020000           0.0          0.0     4.270000      4.20000     4.190000        0.0          0.0  209.000000  294.610000  3995.000000              4.305000          0.0        571.0    255.000000         108.000000    250.000000             23.000000    4.280000    0.000000     1.0     1.0
75%       0.060000           0.0          0.0     4.280000      4.21000     4.200000        0.0          0.0  321.000000  294.610000  5039.000000              4.310000          0.0        571.0    255.000000         119.000000    250.000000             23.000000    4.290000    0.000000     1.0     1.0
max      10.940000           0.0          0.0     4.410000      5.82000     6.000000        0.0          0.0  419.000000  294.840000  5200.000000              4.383000          0.0        571.0    255.000000         119.000000    250.000000             23.000000    4.320000   14.580000     1.0     1.0
