,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0
mean,0.0071713147410358575,3.82,3.75,3.740000000000002,0.0,0.0,3.835394422310757,0.0,571.0,21.0
std,0.009527147204937154,0.0,0.0,1.7799060074530854e-15,0.0,0.0,0.0009207653148007109,0.0,0.0,0.0
min,0.0,3.82,3.75,3.74,0.0,0.0,3.834,0.0,571.0,21.0
25%,0.0,3.82,3.75,3.74,0.0,0.0,3.834,0.0,571.0,21.0
50%,0.0,3.82,3.75,3.74,0.0,0.0,3.836,0.0,571.0,21.0
75%,0.01,3.82,3.75,3.74,0.0,0.0,3.836,0.0,571.0,21.0
max,0.04,3.82,3.75,3.74,0.0,0.0,3.836,0.0,571.0,21.0
