,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
mean,0.012964601769911505,4.269999999999999,4.200000000000001,4.190044247787609,0.0,0.0,4.299207964601771,0.0,571.0,21.0
std,0.013583276779294832,8.901499613484578e-16,8.901499613484578e-16,0.0006651901052377251,0.0,0.0,0.0010650522443457235,0.0,0.0,0.0
min,0.0,4.27,4.2,4.19,0.0,0.0,4.298,0.0,571.0,21.0
25%,0.0,4.27,4.2,4.19,0.0,0.0,4.29825,0.0,571.0,21.0
50%,0.01,4.27,4.2,4.19,0.0,0.0,4.299,0.0,571.0,21.0
75%,0.02,4.27,4.2,4.19,0.0,0.0,4.299,0.0,571.0,21.0
max,0.05,4.27,4.2,4.2,0.0,0.0,4.301,0.0,571.0,21.0
