,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0
mean,0.011156716417910448,3.799999999999999,3.731268656716417,3.7210820895522385,0.0,0.0,3.8236194029850736,0.0,571.0,21.0
std,0.013703852476523023,8.898401207220086e-16,0.003334451151384058,0.003112253196959945,0.0,0.0,0.0005445649209227831,0.0,0.0,0.0
min,0.0,3.8,3.73,3.72,0.0,0.0,3.822,0.0,571.0,21.0
25%,0.0,3.8,3.73,3.72,0.0,0.0,3.823,0.0,571.0,21.0
50%,0.01,3.8,3.73,3.72,0.0,0.0,3.824,0.0,571.0,21.0
75%,0.02,3.8,3.73,3.72,0.0,0.0,3.824,0.0,571.0,21.0
max,0.05,3.8,3.74,3.73,0.0,0.0,3.825,0.0,571.0,21.0
