,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0
mean,7.722007722007723e-05,3.496679536679537,3.4229729729729743,3.415212355212356,3.4200000000000013,0.0,3.609698841698842,0.0,65535.0,21.0
std,0.0008770448939204493,0.004718593250654406,0.004579534356855975,0.0050051603074018946,1.334847046543124e-15,0.0,0.007004015916830535,0.0,0.0,0.0
min,0.0,3.49,3.42,3.41,3.42,0.0,3.605,0.0,65535.0,21.0
25%,0.0,3.49,3.42,3.41,3.42,0.0,3.606,0.0,65535.0,21.0
50%,0.0,3.5,3.42,3.42,3.42,0.0,3.606,0.0,65535.0,21.0
75%,0.0,3.5,3.43,3.42,3.42,0.0,3.607,0.0,65535.0,21.0
max,0.01,3.5,3.43,3.42,3.42,0.0,3.622,0.0,65535.0,21.0
