,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,418.0,418.0,418.0,418.0,418.0,418.0,418.0
mean,26.175550239234454,3.770765550239235,3.067966507177033,3.1289234449760768,3.2841626794258376,3.9050813397129187,3.7622248803827745
std,0.08548806758947382,0.0031565940738951174,0.011163868911174827,0.008283865199051334,0.010724021960071868,0.002649480492836359,0.004164155956467398
min,25.94,3.76,3.04,3.11,3.25,3.899,3.76
25%,26.1125,3.77,3.06,3.12,3.28,3.903,3.76
50%,26.18,3.77,3.07,3.13,3.28,3.905,3.76
75%,26.24,3.77,3.08,3.13,3.29,3.907,3.76
max,26.42,3.78,3.09,3.15,3.31,3.912,3.77
