,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,626.0,626.0,626.0,626.0,626.0,626.0,626.0
mean,6.555575079872204,3.3930511182108627,3.2914536741214055,3.1875559105431313,3.287092651757189,3.500250798722045,3.4058785942492014
std,0.08117578921078383,0.005164860380262279,0.005596735698532932,0.007606370291379743,0.007256293951938106,0.004275254303666858,0.004926138148763593
min,6.37,3.38,3.28,3.17,3.27,3.487,3.4
25%,6.5,3.39,3.29,3.18,3.28,3.497,3.4
50%,6.57,3.39,3.29,3.19,3.29,3.5,3.41
75%,6.62,3.4,3.29,3.19,3.29,3.503,3.41
max,6.7,3.41,3.31,3.21,3.31,3.513,3.41
