,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,593.0,593.0,593.0,593.0,593.0,593.0,593.0
mean,2.2092242833052276,3.3952613827993257,3.318026981450253,3.293507588532884,3.3136256323777404,3.4999898819561546,3.409612141652614
std,0.043736835284189896,0.0053877497537431545,0.006626060381329161,0.008001711794436175,0.008022865379551675,0.003676978069356459,0.0019324717141129804
min,2.09,3.38,3.29,3.27,3.29,3.479,3.4
25%,2.17,3.39,3.31,3.29,3.31,3.498,3.41
50%,2.21,3.4,3.32,3.29,3.31,3.5,3.41
75%,2.25,3.4,3.32,3.3,3.32,3.503,3.41
max,2.29,3.41,3.34,3.32,3.34,3.509,3.41
