,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0
mean,0.0057954545454545455,4.07,4.0,3.9900000000000015,0.0,0.0,4.092642045454546,0.0,571.0,20.761363636363637
std,0.009285514483364895,0.0,0.0,1.3360686861460822e-15,0.0,0.0,0.00048076643355845675,0.0,0.0,2.232202336869862
min,0.0,4.07,4.0,3.99,0.0,0.0,4.092,0.0,571.0,0.0
25%,0.0,4.07,4.0,3.99,0.0,0.0,4.092,0.0,571.0,21.0
50%,0.0,4.07,4.0,3.99,0.0,0.0,4.093,0.0,571.0,21.0
75%,0.01,4.07,4.0,3.99,0.0,0.0,4.093,0.0,571.0,21.0
max,0.03,4.07,4.0,3.99,0.0,0.0,4.093,0.0,571.0,21.0
