,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
mean,0.0,4.170294117647059,4.100000000000001,4.09,4.091176470588234,0.0,4.304044117647059,0.0,65535.0,21.0
std,0.0,0.001702139334575955,1.7895641352938648e-15,0.0,0.0032458523544031193,0.0,0.0019195290430589907,0.0,0.0,0.0
min,0.0,4.17,4.1,4.09,4.09,0.0,4.302,0.0,65535.0,21.0
25%,0.0,4.17,4.1,4.09,4.09,0.0,4.303,0.0,65535.0,21.0
50%,0.0,4.17,4.1,4.09,4.09,0.0,4.303,0.0,65535.0,21.0
75%,0.0,4.17,4.1,4.09,4.09,0.0,4.305,0.0,65535.0,21.0
max,0.0,4.18,4.1,4.09,4.1,0.0,4.308,0.0,65535.0,21.0
