,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0
mean,0.0,3.7190677966101697,3.64635593220339,3.636186440677966,3.640847457627119,0.0,3.8341610169491527,0.0,65535.0,21.0
std,0.0,0.002919808018391331,0.004833157244765402,0.0048779096555351485,0.002796906467650849,0.0,0.002588502979508463,0.0,0.0,0.0
min,0.0,3.71,3.64,3.63,3.64,0.0,3.831,0.0,65535.0,21.0
25%,0.0,3.72,3.64,3.63,3.64,0.0,3.832,0.0,65535.0,21.0
50%,0.0,3.72,3.65,3.64,3.64,0.0,3.834,0.0,65535.0,21.0
75%,0.0,3.72,3.65,3.64,3.64,0.0,3.83575,0.0,65535.0,21.0
max,0.0,3.72,3.65,3.64,3.65,0.0,3.842,0.0,65535.0,21.0
