,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,742.0,742.0,742.0,742.0,742.0,742.0,742.0
mean,36.39919137466307,3.239973045822103,2.2692722371967653,2.402142857142857,1.0495148247978436,3.375540431266846,3.213625336927224
std,0.1376833329361913,0.007758105849043875,0.013204863951031598,0.01069090051254047,0.01036612729246014,0.007165508841161167,0.005848727749099699
min,36.09,3.23,2.23,2.37,1.02,3.362,3.2
25%,36.29,3.23,2.26,2.39,1.04,3.37,3.21
50%,36.4,3.24,2.27,2.4,1.05,3.375,3.21
75%,36.5,3.24,2.28,2.41,1.06,3.37975,3.22
max,36.73,3.27,2.31,2.44,1.08,3.4,3.23
