,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,584.0,584.0,584.0,584.0,584.0,584.0,584.0
mean,2.1222431506849317,3.877208904109589,3.800376712328767,3.7762671232876714,3.795684931506849,3.999828767123288,3.890068493150685
std,0.028027231079691205,0.006301530443667609,0.009581027858901962,0.011950607954214727,0.013222338509992508,0.005284508690182887,0.0008254737960384427
min,2.04,3.86,3.77,3.73,3.75,3.987,3.89
25%,2.11,3.87,3.79,3.77,3.79,3.995,3.89
50%,2.12,3.88,3.8,3.78,3.8,4.0,3.89
75%,2.14,3.88,3.81,3.78,3.8,4.003,3.89
max,2.19,3.89,3.83,3.81,3.83,4.012,3.9
