YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];CV0202[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-11-01 12:15:04:150;7.34; 0.00; 0.000; 3.88; 3.77; 3.64; 0.00; 0.00; 0.00; 0.00; 0.00; 3.77; 0.00; 16.00; 0.00; 0.00; 370.000; 292.49; 5016.00; 4.016; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 102.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.08; 1.00; 1.00; 5.00
2023-11-01 12:15:04:270;7.34; 0.00; 0.000; 3.90; 3.79; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 5016.00; 4.018; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 90.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.08; 1.00; 1.00; 5.00
2023-11-01 12:15:04:390;7.35; 0.00; 0.000; 3.89; 3.78; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.77; 0.00; 16.00; 0.00; 0.00; 370.000; 292.51; 5016.00; 4.007; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 79.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.08; 1.00; 1.00; 5.00
2023-11-01 12:15:04:510;7.36; 0.00; 0.000; 3.89; 3.78; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 370.000; 292.51; 5016.00; 4.018; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 74.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.08; 1.00; 1.00; 5.00
2023-11-01 12:15:04:630;7.37; 0.00; 0.000; 3.89; 3.78; 3.64; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 4992.00; 4.017; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 82.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.08; 1.00; 1.00; 5.00
2023-11-01 12:15:04:750;7.38; 0.00; 0.000; 3.89; 3.79; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 4992.00; 4.017; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 82.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.70; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:04:870;7.38; 0.00; 0.000; 3.88; 3.77; 3.64; 0.00; 0.00; 0.00; 0.00; 0.00; 3.75; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 4992.00; 4.017; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 82.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.70; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:04:990;7.39; 0.00; 0.000; 3.89; 3.79; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.79; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 4992.00; 4.016; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 72.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.70; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:05:110;7.39; 0.00; 0.000; 3.88; 3.76; 3.64; 0.00; 0.00; 0.00; 0.00; 0.00; 3.76; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 4992.00; 4.016; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 72.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.70; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:05:230;7.39; 0.00; 0.000; 3.88; 3.78; 3.64; 0.00; 0.00; 0.00; 0.00; 0.00; 3.77; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 4992.00; 4.016; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 72.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.70; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:05:350;7.39; 0.00; 0.000; 3.88; 3.77; 3.64; 0.00; 0.00; 0.00; 0.00; 0.00; 3.76; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 5016.00; 4.012; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 89.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.70; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:05:470;7.39; 0.00; 0.000; 3.88; 3.76; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.76; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 5016.00; 4.012; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 89.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.70; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:05:590;7.40; 0.00; 0.000; 3.89; 3.78; 3.64; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 5016.00; 4.012; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 89.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.70; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:05:710;7.41; 0.00; 0.000; 3.88; 3.77; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.76; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 5016.00; 4.012; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 89.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.83; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:05:830;7.41; 0.00; 0.000; 3.89; 3.78; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 5016.00; 4.012; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 89.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.83; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:05:950;7.42; 0.00; 0.000; 3.88; 3.78; 3.64; 0.00; 0.00; 0.00; 0.00; 0.00; 3.77; 0.00; 16.00; 0.00; 0.00; 371.000; 292.51; 5016.00; 4.012; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 89.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.83; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:06:070;7.45; 0.00; 0.000; 3.89; 3.77; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.77; 0.00; 16.00; 0.00; 0.00; 372.000; 292.51; 4992.00; 4.009; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 91.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.83; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.92; 1.00; 1.00; 5.00
2023-11-01 12:15:06:190;7.48; 0.00; 0.000; 3.89; 3.78; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.77; 0.00; 16.00; 0.00; 0.00; 372.000; 292.51; 4992.00; 4.009; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 91.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.83; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:06:310;7.49; 0.00; 0.000; 3.88; 3.77; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.76; 0.00; 16.00; 0.00; 0.00; 372.000; 292.51; 4992.00; 4.009; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 91.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.83; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.90; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
