,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,818.0,818.0,818.0,818.0,818.0,818.0,818.0
mean,4.639315403422984,3.3955012224938868,3.309022004889975,3.2503911980440092,3.3033618581907085,3.500183374083129,3.409511002444988
std,0.044617463222129276,0.005469901931940771,0.004949883955958463,0.004806515445662837,0.006024723641107077,0.004064428171554547,0.0021579039702150494
min,4.54,3.38,3.3,3.24,3.29,3.483,3.4
25%,4.61,3.39,3.31,3.25,3.3,3.498,3.41
50%,4.63,3.4,3.31,3.25,3.3,3.5,3.41
75%,4.67,3.4,3.31,3.25,3.31,3.503,3.41
max,4.76,3.41,3.32,3.26,3.32,3.51,3.41
