,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0,193.0
mean,0.0,4.169896373056996,4.09440414507772,4.08958549222798,4.090000000000001,0.0,4.300310880829016,0.0,65535.0,21.0
std,0.0,0.0010153187644463765,0.004977279986315327,0.001998488202364776,8.904883804795196e-16,0.0,0.0005171393180431108,0.0,0.0,0.0
min,0.0,4.16,4.09,4.08,4.09,0.0,4.299,0.0,65535.0,21.0
25%,0.0,4.17,4.09,4.09,4.09,0.0,4.3,0.0,65535.0,21.0
50%,0.0,4.17,4.09,4.09,4.09,0.0,4.3,0.0,65535.0,21.0
75%,0.0,4.17,4.1,4.09,4.09,0.0,4.301,0.0,65535.0,21.0
max,0.0,4.17,4.1,4.09,4.09,0.0,4.301,0.0,65535.0,21.0
