       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  1017.000000        1017.0       1017.0  1017.000000  1017.000000  1017.000000     1017.0       1017.0  1017.000000  1017.000000  1017.000000           1017.000000       1017.0       1017.0   1017.000000        1017.000000   1017.000000           1017.000000  1017.000000  1017.000000  1017.0  1017.0
mean      4.837945           0.0          0.0     4.119331     4.017502     3.911160        0.0          0.0   212.779744   293.478574  2812.105211              4.145506          0.0        571.0    151.998033          61.412979    239.322517             22.089479     4.132212     4.891239     1.0     1.0
std       4.881589           0.0          0.0     0.198010     0.226373     0.316572        0.0          0.0   192.726671     0.026839  2504.750281              0.195518          0.0          0.0    112.484487           5.722981     28.007560              1.010212     0.183279     4.999337     0.0     0.0
min       0.000000           0.0          0.0     2.260000     2.170000     2.060000        0.0          0.0     0.000000   293.410000     0.000000              2.299000          0.0        571.0      1.000000          58.000000    108.000000             18.000000     2.640000     0.000000     1.0     1.0
25%       0.010000           0.0          0.0     3.980000     3.840000     3.630000        0.0          0.0     0.000000   293.470000     0.000000              4.005000          0.0        571.0     35.000000          58.000000    250.000000             21.000000     3.990000     0.000000     1.0     1.0
50%       1.760000           0.0          0.0     4.240000     4.170000     4.150000        0.0          0.0   332.000000   293.490000  5016.000000              4.266000          0.0        571.0    255.000000          58.000000    250.000000             23.000000     4.250000     0.000000     1.0     1.0
75%       9.930000           0.0          0.0     4.270000     4.200000     4.190000        0.0          0.0   399.000000   293.490000  5110.000000              4.298000          0.0        571.0    255.000000          71.000000    250.000000             23.000000     4.280000    10.000000     1.0     1.0
max      10.050000           0.0          0.0     4.340000     4.860000     5.210000        0.0          0.0   407.000000   293.620000  5180.000000              4.325000          0.0        571.0    255.000000          71.000000    250.000000             23.000000     4.300000    12.920000     1.0     1.0
