,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,209.0,209.0,209.0,209.0,209.0,209.0,209.0
mean,7.383157894736842,3.3931100478468896,3.284066985645933,3.153062200956938,3.279425837320574,3.5000239234449757,3.4058373205741623
std,0.034342434887586246,0.005132133356233095,0.0065936530528626185,0.006807868534178194,0.009128121299269501,0.004016121587987058,0.0049412261497613534
min,7.3,3.38,3.27,3.14,3.26,3.493,3.4
25%,7.36,3.39,3.28,3.15,3.27,3.497,3.4
50%,7.39,3.39,3.28,3.15,3.28,3.5,3.41
75%,7.41,3.4,3.29,3.16,3.29,3.502,3.41
max,7.44,3.4,3.3,3.17,3.3,3.511,3.41
