       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]   p_lo_min[W]   p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  2030.000000        2030.0       2030.0  2030.000000   2030.00000  2030.000000     2030.0       2030.0  2030.000000  2030.000000  2030.000000           2030.000000   2030.000000   2030.000000   2030.000000        2030.000000   2030.000000           2030.000000  2030.000000  2030.000000  2030.0  2030.0
mean      5.163966           0.0          0.0     3.592079      3.48698     3.426079        0.0          0.0   220.707882   297.104163  3325.499015              3.607882     34.436453    586.851724    196.209852         118.024631    178.441379             22.402463     3.601665     5.215995     1.0     1.0
std       4.567440           0.0          0.0     0.157778      0.18535     0.231680        0.0          0.0   146.833342     0.297036  2165.577778              0.175512   1096.842797    414.336472     92.753776          10.173913     74.666489              0.912697     0.155917     4.629079     0.0     0.0
min       0.000000           0.0          0.0     2.800000      2.69000     2.680000        0.0          0.0     0.000000   296.730000     0.000000              0.000000      0.000000    571.000000      1.000000          92.000000     40.000000             21.000000     2.980000     0.000000     1.0     1.0
25%       0.020000           0.0          0.0     3.480000      3.34000     3.230000        0.0          0.0     0.000000   296.790000     0.000000              3.498000      0.000000    571.000000    111.000000         122.000000     96.000000             21.000000     3.490000     0.000000     1.0     1.0
50%       4.195000           0.0          0.0     3.490000      3.37000     3.265000        0.0          0.0   295.000000   297.030000  4758.000000              3.507000      0.000000    571.000000    255.000000         122.000000    208.000000             23.000000     3.490000     4.170000     1.0     1.0
75%       9.730000           0.0          0.0     3.810000      3.74000     3.730000        0.0          0.0   335.000000   297.460000  4781.000000              3.826000      0.000000    571.000000    255.000000         122.000000    250.000000             23.000000     3.820000    10.000000     1.0     1.0
max       9.940000           0.0          0.0     3.950000      3.90000     4.910000        0.0          0.0   337.000000   297.550000  4969.000000              3.950000  34953.000000  12080.000000    255.000000         122.000000    250.000000             23.000000     3.930000    10.420000     1.0     1.0
