       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  3014.000000        3014.0       3014.0  3014.000000  3014.000000  3014.000000     3014.0       3014.0  3014.000000  3014.000000  3014.000000           3014.000000       3014.0       3014.0   3014.000000        3014.000000   3014.000000           3014.000000  3014.000000  3014.000000  3014.0  3014.0
mean      5.143650           0.0          0.0     4.042873     3.947833     3.852651        0.0          0.0   261.589250   293.145186  3520.936961              4.069612          0.0        571.0    197.827140          74.394161    139.003318             22.381885     4.057863     5.192614     1.0     1.0
std       3.650077           0.0          0.0     0.127596     0.144968     0.199773        0.0          0.0   174.534339     0.130521  2330.434922              0.129788          0.0          0.0     99.615712          82.193949     96.044975              0.939499     0.120667     3.708489     0.0     0.0
min       0.000000           0.0          0.0     2.520000     2.450000     2.280000        0.0          0.0     0.000000   292.920000     0.000000              2.518000          0.0        571.0      0.000000          37.000000     21.000000             15.000000     2.700000     0.000000     1.0     1.0
25%       0.020000           0.0          0.0     3.970000     3.860000     3.720000        0.0          0.0     0.000000   293.010000     0.000000              3.997000          0.0        571.0    234.000000          37.000000     55.000000             21.000000     3.990000     0.000000     1.0     1.0
50%       7.725000           0.0          0.0     3.980000     3.870000     3.740000        0.0          0.0   379.000000   293.170000  5063.000000              4.007000          0.0        571.0    255.000000          37.000000     65.000000             23.000000     3.990000     7.920000     1.0     1.0
75%       7.790000           0.0          0.0     4.110000     4.050000     4.040000        0.0          0.0   381.000000   293.280000  5063.000000              4.139000          0.0        571.0    255.000000          37.000000    250.000000             23.000000     4.130000     7.920000     1.0     1.0
max       7.970000           0.0          0.0     4.370000     4.930000     5.750000        0.0          0.0   400.000000   293.320000  5200.000000              4.390000          0.0        571.0    255.000000         255.000000    250.000000             23.000000     4.300000    10.000000     1.0     1.0
