,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
mean,4.424778761061947e-05,3.75,3.68,3.6700000000000013,3.678185840707965,0.0,3.8703761061946906,0.0,65535.0,21.0
std,0.0006651901052377394,0.0,0.0,1.3352249420226864e-15,0.003862178251404908,0.0,0.0012944856953010359,0.0,0.0,0.0
min,0.0,3.75,3.68,3.67,3.67,0.0,3.868,0.0,65535.0,21.0
25%,0.0,3.75,3.68,3.67,3.68,0.0,3.869,0.0,65535.0,21.0
50%,0.0,3.75,3.68,3.67,3.68,0.0,3.87,0.0,65535.0,21.0
75%,0.0,3.75,3.68,3.67,3.68,0.0,3.871,0.0,65535.0,21.0
max,0.01,3.75,3.68,3.67,3.68,0.0,3.874,0.0,65535.0,21.0
