,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,376.0,376.0,376.0,376.0,376.0,376.0,376.0
mean,8.581702127659574,3.8771276595744686,3.7542819148936175,3.5879787234042553,3.749574468085106,4.000223404255319,3.8894148936170216
std,0.05166844654907203,0.006511092553568424,0.008359603981254283,0.009159887886829782,0.010447572591259802,0.005788548244606873,0.002350192386873765
min,8.45,3.86,3.73,3.56,3.72,3.986,3.88
25%,8.56,3.87,3.75,3.58,3.74,3.996,3.89
50%,8.58,3.88,3.75,3.59,3.75,4.000500000000001,3.89
75%,8.62,3.88,3.76,3.59,3.76,4.005,3.89
max,8.7,3.9,3.78,3.61,3.78,4.012,3.89
