,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,792.0,792.0,792.0,792.0,792.0,792.0,792.0
mean,7.64780303030303,3.8759722222222224,3.763838383838384,3.6280176767676773,3.7592045454545455,3.999590909090909,3.889772727272727
std,0.04536656811811723,0.00599740661282064,0.007349958343433436,0.007524738175405842,0.009120548453436515,0.004626840638341636,0.0016521414326994568
min,7.54,3.86,3.74,3.61,3.73,3.985,3.88
25%,7.62,3.87,3.76,3.62,3.75,3.997,3.89
50%,7.65,3.88,3.76,3.63,3.76,3.999,3.89
75%,7.68,3.88,3.77,3.63,3.77,4.003,3.89
max,7.78,3.9,3.79,3.65,3.78,4.022,3.9
