,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0
mean,0.010082304526748975,4.269999999999999,4.199917695473252,4.189917695473251,0.0,0.0,4.297954732510287,0.0,571.0,21.0
std,0.01354489838843988,8.900116072432484e-16,0.0009053420646295264,0.0009053420646296066,0.0,0.0,0.0010375233893874976,0.0,0.0,0.0
min,0.0,4.27,4.19,4.18,0.0,0.0,4.296,0.0,571.0,21.0
25%,0.0,4.27,4.2,4.19,0.0,0.0,4.297,0.0,571.0,21.0
50%,0.0,4.27,4.2,4.19,0.0,0.0,4.297,0.0,571.0,21.0
75%,0.02,4.27,4.2,4.19,0.0,0.0,4.299,0.0,571.0,21.0
max,0.05,4.27,4.2,4.19,0.0,0.0,4.3,0.0,571.0,21.0
