,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,201.0,201.0,201.0,201.0,201.0,201.0,201.0
mean,7.937014925373135,3.8750248756218904,3.7613930348258706,3.6111442786069654,3.75547263681592,4.000487562189054,3.889751243781094
std,0.04919395060492091,0.006010355905389624,0.00854691472075046,0.009283538097190657,0.011700448603042354,0.0047666649271123065,0.001561349078609183
min,7.84,3.86,3.74,3.59,3.72,3.986,3.88
25%,7.9,3.87,3.76,3.61,3.75,3.997,3.89
50%,7.94,3.88,3.76,3.61,3.76,4.0,3.89
75%,7.97,3.88,3.77,3.62,3.76,4.004,3.89
max,8.05,3.89,3.78,3.64,3.79,4.015,3.89
