       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  1288.000000        1288.0       1288.0  1288.000000  1288.000000  1288.000000     1288.0       1288.0  1288.000000  1288.000000  1288.000000           1288.000000       1288.0       1288.0   1288.000000        1288.000000   1288.000000           1288.000000  1288.000000  1288.000000  1288.0  1288.0
mean      2.710784           0.0          0.0     3.677415     3.595497     3.544969        0.0          0.0   138.134317   297.863238  2136.397516              3.691536          0.0        571.0    138.111801         107.512422    211.364907             21.857919     3.687345     2.741475     1.0     1.0
std       3.290284           0.0          0.0     0.187959     0.203052     0.251353        0.0          0.0   153.061743     0.305552  2345.073095              0.196532          0.0          0.0    105.942383          30.132855     61.525520              1.312482     0.183512     3.379118     0.0     0.0
min       0.000000           0.0          0.0     2.150000     2.030000     1.940000        0.0          0.0     0.000000   297.510000     0.000000              2.154000          0.0        571.0      0.000000          92.000000     52.000000              0.000000     2.350000     0.000000     1.0     1.0
25%       0.000000           0.0          0.0     3.490000     3.390000     3.280000        0.0          0.0     0.000000   297.540000     0.000000              3.503000          0.0        571.0     39.000000          92.000000    159.750000             21.000000     3.490000     0.000000     1.0     1.0
50%       0.030000           0.0          0.0     3.820000     3.750000     3.740000        0.0          0.0     0.000000   297.820000     0.000000              3.834000          0.0        571.0     84.500000          92.000000    250.000000             21.000000     3.830000     0.000000     1.0     1.0
75%       6.810000           0.0          0.0     3.820000     3.750000     3.740000        0.0          0.0   314.000000   298.200000  4735.000000              3.837000          0.0        571.0    255.000000          92.000000    250.000000             23.000000     3.830000     6.670000     1.0     1.0
max       6.900000           0.0          0.0     3.900000     4.260000     4.960000        0.0          0.0   322.000000   298.390000  5081.000000              3.906000          0.0        571.0    255.000000         166.000000    250.000000             23.000000     3.850000    10.000000     1.0     1.0
