       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  1337.000000        1337.0       1337.0  1337.000000  1337.000000  1337.000000     1337.0       1337.0  1337.000000  1337.000000  1337.000000           1337.000000       1337.0  1337.000000   1337.000000        1337.000000   1337.000000           1337.000000  1337.000000  1337.000000  1337.0  1337.0
mean     10.836432           0.0          0.0     3.613545     3.277704     3.407001        0.0          0.0   235.769634   296.145647  2792.303665              3.627079          0.0   613.127150    162.367988          89.081526    162.075542             22.122663     3.616425    10.982274     1.0     1.0
std       9.326933           0.0          0.0     0.235089     0.440651     0.332535        0.0          0.0   203.299411     1.220970  2394.670642              0.321450          0.0   627.682577    107.820935          20.431280     86.091684              1.256684     0.239769     9.532637     0.0     0.0
min       0.000000           0.0          0.0     1.350000     1.090000     1.140000        0.0          0.0     0.000000   273.980000     0.000000              0.000000          0.0   571.000000      0.000000          79.000000      7.000000              2.000000     1.490000     0.000000     1.0     1.0
25%       0.010000           0.0          0.0     3.470000     2.910000     3.160000        0.0          0.0     0.000000   296.100000     0.000000              3.498000          0.0   571.000000     52.000000          79.000000     78.000000             21.000000     3.470000     0.000000     1.0     1.0
50%      17.760000           0.0          0.0     3.480000     2.990000     3.200000        0.0          0.0   403.000000   296.240000  4852.000000              3.504000          0.0   571.000000    255.000000          79.000000    153.000000             23.000000     3.480000    17.920000     1.0     1.0
75%      19.630000           0.0          0.0     3.810000     3.740000     3.730000        0.0          0.0   420.000000   296.340000  4875.000000              3.827000          0.0   571.000000    255.000000          79.000000    250.000000             23.000000     3.820000    20.000000     1.0     1.0
max      19.890000           0.0          0.0     3.980000     5.240000     5.080000        0.0          0.0   422.000000   296.580000  4945.000000              3.989000          0.0  9979.000000    255.000000         240.000000    250.000000             23.000000     3.910000    22.080000     1.0     1.0
