,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
mean,0.0,3.4400000000000004,3.3700000000000006,3.3599999999999994,3.3700000000000006,0.0,3.552497512437811,0.0,65535.0,21.0
std,0.0,4.451980485545497e-16,4.451980485545497e-16,4.451980485545497e-16,4.451980485545497e-16,0.0,0.0005396700668876071,0.0,0.0,0.0
min,0.0,3.44,3.37,3.36,3.37,0.0,3.551,0.0,65535.0,21.0
25%,0.0,3.44,3.37,3.36,3.37,0.0,3.552,0.0,65535.0,21.0
50%,0.0,3.44,3.37,3.36,3.37,0.0,3.552,0.0,65535.0,21.0
75%,0.0,3.44,3.37,3.36,3.37,0.0,3.553,0.0,65535.0,21.0
max,0.0,3.44,3.37,3.36,3.37,0.0,3.555,0.0,65535.0,21.0
