,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
mean,0.000297029702970297,3.6800000000000006,3.6100000000000003,3.600000000000001,3.6100000000000003,0.0,3.7987821782178215,0.0,65535.0,21.0
std,0.002216053042936678,4.463041323674983e-16,4.463041323674983e-16,8.926082647349966e-16,4.463041323674983e-16,0.0,0.0009011543751880769,0.0,0.0,0.0
min,0.0,3.68,3.61,3.6,3.61,0.0,3.797,0.0,65535.0,21.0
25%,0.0,3.68,3.61,3.6,3.61,0.0,3.799,0.0,65535.0,21.0
50%,0.0,3.68,3.61,3.6,3.61,0.0,3.799,0.0,65535.0,21.0
75%,0.0,3.68,3.61,3.6,3.61,0.0,3.799,0.0,65535.0,21.0
max,0.02,3.68,3.61,3.6,3.61,0.0,3.8,0.0,65535.0,21.0
