,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,651.0,651.0,651.0,651.0,651.0,651.0,651.0
mean,3.9830721966205838,3.877588325652842,3.7926728110599073,3.746620583717358,3.7883563748079876,3.999975422427035,3.8899539170506916
std,0.030786000983434775,0.004757774411013419,0.006269499888748327,0.007602153963813,0.008277989447885463,0.0038261462352592143,0.0006777990529543185
min,3.91,3.86,3.77,3.72,3.76,3.983,3.88
25%,3.96,3.88,3.79,3.74,3.78,3.998,3.89
50%,3.98,3.88,3.79,3.75,3.79,4.0,3.89
75%,4.01,3.88,3.8,3.75,3.79,4.002,3.89
max,4.06,3.89,3.81,3.77,3.81,4.009,3.89
