,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0
mean,0.011872509960159363,4.259999999999998,4.1899999999999995,4.18,0.0,0.0,4.285577689243028,0.0,571.0,21.0
std,0.013148371810794689,1.7799060074530854e-15,8.899530037265427e-16,0.0,0.0,0.0,0.0004949143754666591,0.0,0.0,0.0
min,0.0,4.26,4.19,4.18,0.0,0.0,4.285,0.0,571.0,21.0
25%,0.0,4.26,4.19,4.18,0.0,0.0,4.285,0.0,571.0,21.0
50%,0.01,4.26,4.19,4.18,0.0,0.0,4.286,0.0,571.0,21.0
75%,0.02,4.26,4.19,4.18,0.0,0.0,4.286,0.0,571.0,21.0
max,0.05,4.26,4.19,4.18,0.0,0.0,4.286,0.0,571.0,21.0
