       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  8782.000000        8782.0       8782.0  8782.000000  8782.000000  8782.000000     8782.0       8782.0  8782.000000  8782.000000  8782.000000           8782.000000       8782.0       8782.0   8782.000000        8782.000000   8782.000000           8782.000000  8782.000000  8782.000000  8782.0  8782.0
mean      0.455928           0.0          0.0     3.944588     3.873454     3.863799        0.0          0.0   255.921544   302.235709  4081.250854              3.959243          0.0        571.0    227.350717          96.907652    198.941130             22.648599     3.957022     0.254033     1.0     1.0
std       0.179741           0.0          0.0     0.324843     0.324541     0.324774        0.0          0.0   128.647539     0.522138  1901.167221              0.325520          0.0          0.0     76.012394          96.941321     63.102336              0.841876     0.320928     0.307304     0.0     0.0
min       0.000000           0.0          0.0     2.360000     2.290000     2.280000        0.0          0.0     0.000000   301.170000     0.000000              2.388000          0.0        571.0      0.000000           1.000000     46.000000              2.000000     2.390000     0.000000     1.0     1.0
25%       0.490000           0.0          0.0     3.970000     3.890000     3.870000        0.0          0.0   250.000000   301.880000  4711.000000              3.983000          0.0        571.0    255.000000           1.000000    139.000000             23.000000     3.990000     0.000000     1.0     1.0
50%       0.530000           0.0          0.0     3.990000     3.920000     3.910000        0.0          0.0   317.000000   302.290000  5016.000000              4.002000          0.0        571.0    255.000000           7.000000    250.000000             23.000000     4.000000     0.420000     1.0     1.0
75%       0.550000           0.0          0.0     4.270000     4.190000     4.180000        0.0          0.0   348.000000   302.720000  5200.000000              4.283000          0.0        571.0    255.000000         196.000000    250.000000             23.000000     4.270000     0.420000     1.0     1.0
max       0.810000           0.0          0.0     4.300000     4.230000     4.230000        0.0          0.0   353.000000   302.970000  5200.000000              4.319000          0.0        571.0    255.000000         196.000000    250.000000             23.000000     4.300000     2.080000     1.0     1.0
