       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  1512.000000        1512.0       1512.0  1512.000000  1512.000000  1512.000000     1512.0       1512.0  1512.000000  1512.000000  1512.000000           1512.000000       1512.0       1512.0   1512.000000        1512.000000   1512.000000           1512.000000  1512.000000  1512.000000  1512.0  1512.0
mean      2.649583           0.0          0.0     3.590179     3.506825     3.491845        0.0          0.0   204.262566   296.489689  3357.785714              3.607649          0.0        571.0    201.842593         118.750661    179.139550             22.419974     3.600344     2.668214     1.0     1.0
std       2.282511           0.0          0.0     0.153724     0.169876     0.187538        0.0          0.0   131.498281     0.098193  2133.877999              0.155673          0.0          0.0     86.105689           6.686563     87.536932              0.903818     0.151542     2.340156     0.0     0.0
min       0.000000           0.0          0.0     2.830000     2.460000     1.660000        0.0          0.0     0.000000   296.320000     0.000000              2.874000          0.0        571.0      1.000000         105.000000     17.000000             21.000000     2.990000     0.000000     1.0     1.0
25%       0.020000           0.0          0.0     3.480000     3.390000     3.370000        0.0          0.0     0.000000   296.420000     0.000000              3.501000          0.0        571.0    115.000000         122.000000    108.000000             21.000000     3.490000     0.000000     1.0     1.0
50%       2.480000           0.0          0.0     3.500000     3.410000     3.410000        0.0          0.0   280.000000   296.500000  4711.000000              3.510000          0.0        571.0    255.000000         122.000000    250.000000             23.000000     3.500000     2.500000     1.0     1.0
75%       5.550000           0.0          0.0     3.800000     3.730000     3.720000        0.0          0.0   302.000000   296.580000  4735.000000              3.820000          0.0        571.0    255.000000         122.000000    250.000000             23.000000     3.810000     5.420000     1.0     1.0
max       5.700000           0.0          0.0     3.890000     4.060000     4.640000        0.0          0.0   310.000000   296.730000  4992.000000              3.913000          0.0        571.0    255.000000         122.000000    250.000000             23.000000     3.910000     6.670000     1.0     1.0
