YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-09-18 11:29:49:810;0.02; 0.00; 0.000; 4.11; 4.05; 4.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.139; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9724.90; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:49:930;0.03; 0.00; 0.000; 4.11; 4.04; 4.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9724.90; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:50:050;0.03; 0.00; 0.000; 4.11; 4.05; 4.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9724.90; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:50:170;0.02; 0.00; 0.000; 4.11; 4.05; 4.03; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9724.90; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:50:290;0.01; 0.00; 0.000; 4.11; 4.04; 4.03; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9725.30; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:50:410;0.00; 0.00; 0.000; 4.11; 4.05; 4.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9725.30; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:50:530;0.00; 0.00; 0.000; 4.11; 4.04; 4.03; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.94; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9725.30; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:50:650;0.00; 0.00; 0.000; 4.11; 4.05; 4.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.94; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9725.30; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:50:770;0.00; 0.00; 0.000; 4.11; 4.05; 4.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.94; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 232.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9725.70; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:50:890;0.00; 0.00; 0.000; 4.11; 4.05; 4.03; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 233.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9725.70; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:51:010;0.01; 0.00; 0.000; 4.11; 4.05; 4.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 233.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9725.70; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:51:130;0.02; 0.00; 0.000; 4.11; 4.05; 4.03; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 233.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9725.70; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:51:250;0.02; 0.00; 0.000; 4.11; 4.05; 4.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.96; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 233.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9726.20; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
2023-09-18 11:29:51:370;0.02; 0.00; 0.000; 4.11; 4.04; 4.03; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 292.94; 0.00; 4.140; 0.00; 571.00; 40.00; 5.00; 0.00; 233.00; 255.00; 250.00; 0.00; 0.00; 1.00; 0.00; 9726.20; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 2.00; 0.00; 0.00; -10.18; 10.00; 0.00; 0.00; 4.13; 0.00; 0.00; 0.00; 1.00; 1.00; 5.00 
