YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-09-18 12:03:56:770;0.00; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.59; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 169.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 139.80; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:56:890;0.00; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.59; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 169.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 139.80; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:010;0.00; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.59; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 169.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.00; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:130;0.00; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.59; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 169.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.00; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:250;0.00; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.59; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 169.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.20; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:370;0.01; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.61; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 170.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.30; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:490;0.01; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.61; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 170.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.30; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:610;0.02; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.61; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 170.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.50; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:730;0.02; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.61; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 170.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.50; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:850;0.01; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.59; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 170.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.70; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:57:970;0.01; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.59; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 170.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.80; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
2023-09-18 12:03:58:090;0.02; 0.00; 0.000; 4.43; 4.36; 4.35; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 1.00; 1.00; 0.000; 294.59; 0.00; 4.456; 0.00; 571.00; 40.00; 5.00; 9.00; 170.00; 9.00; 250.00; 0.00; 0.00; 1.00; 0.00; 140.80; 3.98; 2.36; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.43; 0.00; 333.33; 0.00; 1.00; 1.00; 2.00 
