YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-10-25 08:36:59:920;0.07; 0.00; 0.000; 4.19; 4.12; 4.11; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 335.000; 292.88; 5110.00; 4.214; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.19; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:37:00:040;0.07; 0.00; 0.000; 4.19; 4.11; 4.10; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 335.000; 292.88; 5110.00; 4.214; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.19; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:37:00:160;0.06; 0.00; 0.000; 4.19; 4.13; 4.12; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 84.00; 334.000; 292.89; 5110.00; 4.214; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.19; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:37:00:280;0.06; 0.00; 0.000; 4.19; 4.12; 4.12; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 84.00; 334.000; 292.89; 5110.00; 4.214; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.19; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:37:00:400;0.05; 0.00; 0.000; 4.18; 3.89; 3.99; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 84.00; 334.000; 292.89; 5110.00; 4.214; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.19; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:37:00:520;0.04; 0.00; 0.000; 4.10; 4.07; 4.15; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 130.00; 334.000; 292.89; 5110.00; 4.215; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.18; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:37:00:640;0.04; 0.00; 0.000; 4.08; 3.90; 3.84; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 130.00; 334.000; 292.89; 5110.00; 4.215; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.16; 0.00; 333.33; 0.42; 1.00; 1.00; 5.00 
2023-10-25 08:37:00:760;0.04; 0.00; 0.000; 4.09; 4.06; 4.05; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 130.00; 334.000; 292.89; 5110.00; 4.215; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.14; 0.00; 333.33; 0.42; 1.00; 1.00; 5.00 
2023-10-25 08:37:00:880;0.10; 0.00; 0.000; 4.09; 4.02; 4.01; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 130.00; 334.000; 292.89; 5110.00; 4.215; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.13; 0.00; 333.33; 0.83; 1.00; 1.00; 5.00 
2023-10-25 08:37:01:000;0.34; 0.00; 0.000; 4.09; 3.96; 3.93; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 338.000; 292.88; 5156.00; 4.114; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.12; 0.00; 333.33; 1.25; 1.00; 1.00; 5.00 
2023-10-25 08:37:01:120;0.76; 0.00; 0.000; 4.10; 4.01; 4.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 344.000; 292.89; 5110.00; 4.116; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.11; 0.00; 333.33; 1.25; 1.00; 1.00; 5.00 
2023-10-25 08:37:01:240;1.17; 0.00; 0.000; 4.09; 3.98; 3.97; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 344.000; 292.89; 5110.00; 4.116; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.10; 0.00; 333.33; 1.67; 1.00; 1.00; 5.00 
2023-10-25 08:37:01:360;1.56; 0.00; 0.000; 4.09; 3.99; 3.97; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 344.000; 292.89; 5110.00; 4.113; 0.00; 571.00; 40.00; 5.00; 0.00; 255.00; 154.00; 250.00; 0.00; 0.00; 0.00; 1.00; 340.90; 524.87; 385962.44; 3.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 43.14; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.10; 0.00; 333.33; 2.08; 1.00; 1.00; 5.00 
