       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]            p       t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_       PT0106       FT0105  PV0106  SC0401
count  1013.000000        1013.0       1013.0  1013.000000  1013.000000  1013.000000     1013.0       1013.0  1013.000000  1013.000000  1013.000000           1013.000000       1013.0       1013.0   1013.000000        1013.000000   1013.000000           1013.000000  1013.000000  1013.000000  1013.0  1013.0
mean      9.115025           0.0          0.0     4.147423     3.854146     3.961540        0.0          0.0   233.204344   293.346426  2513.998026              4.172360          0.0        571.0    159.990128         106.275420    164.636723             21.942744     4.147996     9.263396     1.0     1.0
std       9.309571           0.0          0.0     0.291375     0.486392     0.383707        0.0          0.0   240.652441     0.018977  2576.115938              0.305751          0.0          0.0     99.109653          43.048646     96.238085              1.200576     0.292575     9.582186     0.0     0.0
min       0.000000           0.0          0.0     1.400000     1.220000     1.270000        0.0          0.0     0.000000   293.290000     0.000000              1.823000          0.0        571.0      0.000000          37.000000     32.000000              2.000000     1.580000     0.000000     1.0     1.0
25%       0.010000           0.0          0.0     3.970000     3.430000     3.670000        0.0          0.0     0.000000   293.340000     0.000000              4.000000          0.0        571.0    102.000000          37.000000     60.000000             21.000000     3.970000     0.000000     1.0     1.0
50%       2.070000           0.0          0.0     4.270000     4.200000     4.190000        0.0          0.0     0.000000   293.340000     0.000000              4.294000          0.0        571.0    132.000000         133.000000    250.000000             21.000000     4.270000     0.000000     1.0     1.0
75%      18.970000           0.0          0.0     4.270000     4.200000     4.190000        0.0          0.0   487.000000   293.360000  5200.000000              4.295000          0.0        571.0    255.000000         133.000000    250.000000             23.000000     4.270000    19.170000     1.0     1.0
max      19.140000           0.0          0.0     4.690000     6.000000     5.820000        0.0          0.0   489.000000   293.430000  5200.000000              4.623000          0.0        571.0    255.000000         133.000000    250.000000             23.000000     4.500000    23.330000     1.0     1.0
