,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,693.0,693.0,693.0,693.0,693.0,693.0,693.0
mean,16.742438672438674,3.3882683982683983,2.9438528138528137,3.1305627705627708,3.1339105339105333,3.4998961038961043,3.391471861471862
std,0.07395494101119368,0.005256715759962492,0.011018441386911404,0.010663028306241634,0.012170658660441463,0.00375525055938434,0.003545472831552767
min,16.58,3.37,2.91,3.1,3.1,3.491,3.39
25%,16.69,3.39,2.94,3.12,3.13,3.497,3.39
50%,16.74,3.39,2.94,3.13,3.13,3.5,3.39
75%,16.79,3.39,2.95,3.14,3.14,3.502,3.39
max,16.97,3.4,2.98,3.16,3.2,3.512,3.4
