,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,735.0,735.0,735.0,735.0,735.0,735.0,735.0
mean,13.477795918367347,3.3897278911564626,3.200544217687075,2.8253061224489793,3.195714285714286,3.4998299319727892,3.3997278911564615
std,0.05548190401104554,0.004833125118156534,0.0056199228282601404,0.006446818961792791,0.0072141248069496205,0.003771711263296315,0.001628082166621312
min,13.34,3.38,3.19,2.81,3.18,3.492,3.39
25%,13.44,3.39,3.2,2.82,3.19,3.497,3.4
50%,13.48,3.39,3.2,2.83,3.2,3.5,3.4
75%,13.51,3.39,3.2,2.83,3.2,3.502,3.4
max,13.66,3.4,3.22,2.85,3.22,3.51,3.4
