,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
mean,0.0,3.71,3.6399999999999997,3.63,3.6399999999999997,0.0,3.8299749999999997,0.0,65535.0,21.0
std,0.0,0.0,4.454835279115336e-16,0.0,4.454835279115336e-16,0.0,0.0006437898793899607,0.0,0.0,0.0
min,0.0,3.71,3.64,3.63,3.64,0.0,3.829,0.0,65535.0,21.0
25%,0.0,3.71,3.64,3.63,3.64,0.0,3.83,0.0,65535.0,21.0
50%,0.0,3.71,3.64,3.63,3.64,0.0,3.83,0.0,65535.0,21.0
75%,0.0,3.71,3.64,3.63,3.64,0.0,3.83,0.0,65535.0,21.0
max,0.0,3.71,3.64,3.63,3.64,0.0,3.831,0.0,65535.0,21.0
