,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,768.0,768.0,768.0,768.0,768.0,768.0,768.0
mean,3.1060677083333332,3.8772786458333335,3.797109375,3.7631510416666667,3.792747395833333,3.99973828125,3.8901953125
std,0.03987798337724154,0.005934493537653956,0.009741295884119105,0.012454583944646441,0.013163449197456257,0.004697414547447714,0.0013847291212521402
min,3.03,3.87,3.77,3.73,3.75,3.984,3.89
25%,3.08,3.87,3.79,3.75,3.78,3.997,3.89
50%,3.1,3.88,3.8,3.76,3.79,4.0,3.89
75%,3.14,3.88,3.8,3.77,3.8,4.003,3.89
max,3.22,3.89,3.83,3.8,3.83,4.012,3.9
