,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,826.0,826.0,826.0,826.0,826.0,826.0,826.0
mean,43.3886803874092,2.7765496368038742,2.366452784503632,2.35636803874092,2.3614043583535107,2.9106138014527843,2.7335108958837773
std,0.10271149133005357,0.010835769323754813,0.013353317989475531,0.012938273793472661,0.013509634914652022,0.011131598630785037,0.007676678727635335
min,43.15,2.75,2.33,2.32,2.33,2.884,2.72
25%,43.31,2.77,2.36,2.35,2.35,2.903,2.73
50%,43.39,2.78,2.37,2.36,2.36,2.909,2.73
75%,43.46,2.78,2.37,2.36,2.37,2.918,2.74
max,43.72,2.82,2.41,2.4,2.4,2.943,2.76
