,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0
mean,0.011023166023166024,4.268648648648647,4.1973552123552125,4.187277992277992,0.0,11.978764478764479,4.289117760617762,0.0,571.0,19.888030888030887
std,0.012168841366718516,0.003421983219826942,0.004414816123633485,0.004455229494545992,0.0,0.1443079212792045,0.0012042932567256491,0.0,0.0,1.151490323115151
min,0.0,4.26,4.19,4.18,0.0,11.0,4.287,0.0,571.0,2.0
25%,0.0,4.27,4.19,4.18,0.0,12.0,4.288,0.0,571.0,20.0
50%,0.01,4.27,4.2,4.19,0.0,12.0,4.289,0.0,571.0,20.0
75%,0.02,4.27,4.2,4.19,0.0,12.0,4.289,0.0,571.0,20.0
max,0.05,4.27,4.2,4.19,0.0,12.0,4.291,0.0,571.0,20.0
