,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,751.0,751.0,751.0,751.0,751.0,751.0,751.0
mean,4.945446071904128,3.876444740346205,3.786857523302264,3.721784287616511,3.7824900133155794,4.0002543275632485,3.8899334221038613
std,0.04793086084367935,0.005956224388471496,0.009464583455764081,0.01148965068188904,0.01257742289977651,0.004801725167120532,0.0008137740105566563
min,4.84,3.86,3.75,3.69,3.74,3.985,3.88
25%,4.91,3.87,3.78,3.71,3.77,3.997,3.89
50%,4.94,3.88,3.79,3.72,3.78,4.0,3.89
75%,4.99,3.88,3.79,3.73,3.79,4.004,3.89
max,5.04,3.89,3.81,3.76,3.82,4.014,3.89
