,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,635.0,635.0,635.0,635.0,635.0,635.0,635.0
mean,29.69411023622047,3.3733070866141737,2.786283464566929,2.712188976377953,1.1941259842519683,3.488628346456693,3.3599212598425194
std,0.10294689669236098,0.005094550516858771,0.006181913220785855,0.0058715647496942296,0.00875444197839383,0.19627854045021778,0.0013148406676366676
min,29.42,3.36,2.77,2.7,1.17,0.0,3.35
25%,29.62,3.37,2.78,2.71,1.19,3.497,3.36
50%,29.7,3.37,2.79,2.71,1.19,3.5,3.36
75%,29.77,3.38,2.79,2.72,1.2,3.502,3.36
max,29.94,3.38,2.8,2.72,1.22,3.508,3.37
