,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0
mean,0.0,4.170000000000001,4.1000000000000005,4.090041152263375,4.1000000000000005,0.0,4.307625514403293,0.0,65535.0,21.0
std,0.0,8.900116072432484e-16,8.900116072432484e-16,0.0006415002990995704,8.900116072432484e-16,0.0,0.00048498875636419827,0.0,0.0,0.0
min,0.0,4.17,4.1,4.09,4.1,0.0,4.307,0.0,65535.0,21.0
25%,0.0,4.17,4.1,4.09,4.1,0.0,4.307,0.0,65535.0,21.0
50%,0.0,4.17,4.1,4.09,4.1,0.0,4.308,0.0,65535.0,21.0
75%,0.0,4.17,4.1,4.09,4.1,0.0,4.308,0.0,65535.0,21.0
max,0.0,4.17,4.1,4.1,4.1,0.0,4.308,0.0,65535.0,21.0
