,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,676.0,676.0,676.0,676.0,676.0,676.0,676.0
mean,17.15153846153846,3.3890236686390534,2.9260798816568045,3.1225591715976337,3.1260946745562133,3.5001553254437865,3.3919674556213013
std,0.06208476881263657,0.0046436928634479725,0.009607997162127799,0.010782196102567162,0.011514238581693188,0.0034268419385356827,0.003978327216616474
min,17.01,3.38,2.9,3.09,3.1,3.489,3.39
25%,17.11,3.39,2.92,3.12,3.12,3.498,3.39
50%,17.15,3.39,2.93,3.12,3.13,3.5,3.39
75%,17.19,3.39,2.93,3.13,3.13,3.502,3.39
max,17.32,3.4,2.95,3.15,3.16,3.509,3.4
