,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
mean,0.009867256637168144,4.170000000000001,4.099867256637168,4.090221238938054,0.0,0.0,4.195646017699114,0.0,571.0,21.0
std,0.011831411618439949,8.901499613484578e-16,0.0014847636536425455,0.0014741295783498429,0.0,0.0,0.0006242557023426877,0.0,0.0,0.0
min,0.0,4.17,4.09,4.09,0.0,0.0,4.195,0.0,571.0,21.0
25%,0.0,4.17,4.1,4.09,0.0,0.0,4.195,0.0,571.0,21.0
50%,0.01,4.17,4.1,4.09,0.0,0.0,4.196,0.0,571.0,21.0
75%,0.02,4.17,4.1,4.09,0.0,0.0,4.196,0.0,571.0,21.0
max,0.05,4.17,4.11,4.1,0.0,0.0,4.198,0.0,571.0,21.0
