       FT0101[l/m]  FT0401[m3/h]  PT0101[Bar]  PT0102[Bar]  PT0201[Bar]  PT0202[Bar]  CV0201[%]  PT0203[Bar]           p      t_w[K]   speed[RPM]  outlet_pressure[Bar]  p_lo_min[W]  p_lo_max[W]  time_in_stop  last_time_in_stop  speed_avedev  pump_output_control_      PT0106      FT0105  PV0106  SC0401
count   980.000000         980.0        980.0   980.000000   980.000000   980.000000      980.0        980.0  980.000000  980.000000   980.000000            980.000000        980.0        980.0    980.000000         980.000000    980.000000            980.000000  980.000000  980.000000   980.0   980.0
mean      2.305592           0.0          0.0     4.160041     4.077806     4.029276        0.0          0.0  147.325510  294.709102  2071.283673              4.187219          0.0        571.0    131.744898          76.067347    233.224490             21.740816    4.169990    2.318051     1.0     1.0
std       3.364153           0.0          0.0     0.195003     0.211167     0.258101        0.0          0.0  178.452751    0.024831  2470.248153              0.193423          0.0          0.0    103.781525          42.951686     53.088115              1.464656    0.175244    3.460009     0.0     0.0
min       0.000000           0.0          0.0     2.260000     2.150000     2.020000        0.0          0.0    0.000000  294.650000     0.000000              2.247000          0.0        571.0      0.000000           5.000000     39.000000              2.000000    2.530000    0.000000     1.0     1.0
25%       0.000000           0.0          0.0     4.030000     3.930000     3.807500        0.0          0.0    0.000000  294.690000     0.000000              4.057000          0.0        571.0     29.000000           5.000000    250.000000             21.000000    4.040000    0.000000     1.0     1.0
50%       0.030000           0.0          0.0     4.260000     4.190000     4.180000        0.0          0.0    0.000000  294.710000     0.000000              4.285000          0.0        571.0     92.000000         102.000000    250.000000             21.000000    4.260000    0.000000     1.0     1.0
75%       7.380000           0.0          0.0     4.270000     4.200000     4.190000        0.0          0.0  379.000000  294.710000  5063.000000              4.300000          0.0        571.0    255.000000         102.000000    250.000000             23.000000    4.280000    7.500000     1.0     1.0
max       7.600000           0.0          0.0     4.390000     4.510000     4.770000        0.0          0.0  395.000000  294.910000  5200.000000              4.322000          0.0        571.0    255.000000         102.000000    250.000000             23.000000    4.300000   10.420000     1.0     1.0
