,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,368.0,368.0,368.0,368.0,368.0,368.0,368.0
mean,7.392472826086958,3.393777173913043,3.2842663043478257,3.1535597826086956,3.2796739130434784,3.5001494565217395,3.4065489130434785
std,0.03621197538762228,0.0052847341352004334,0.006685194951274687,0.006813331374685794,0.008279989595291786,0.0036047122849826325,0.004760509545351588
min,7.31,3.38,3.27,3.13,3.26,3.488,3.4
25%,7.37,3.39,3.28,3.15,3.27,3.497,3.4
50%,7.395,3.39,3.28,3.15,3.28,3.5,3.41
75%,7.41,3.4,3.29,3.16,3.29,3.502,3.41
max,7.48,3.41,3.3,3.17,3.3,3.51,3.41
