,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,626.0,626.0,626.0,626.0,626.0,626.0,626.0
mean,29.68808306709265,3.373386581469649,2.7864696485623,2.7124281150159746,1.1941693290734823,3.4884536741214056,3.359936102236422
std,0.09999119705663043,0.005125691724533498,0.0061576519320512705,0.005866414942803728,0.008746935565621682,0.1976810568832513,0.0012632935300756376
min,29.42,3.36,2.77,2.7,1.17,0.0,3.35
25%,29.62,3.37,2.78,2.71,1.19,3.497,3.36
50%,29.69,3.37,2.79,2.71,1.19,3.5,3.36
75%,29.76,3.38,2.79,2.72,1.2,3.502,3.36
max,29.88,3.38,2.8,2.72,1.22,3.508,3.37
