,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0
mean,0.0,3.4099999999999997,3.3400000000000003,3.329999999999999,3.3330463576158933,0.0,3.517834437086093,0.0,65535.0,21.0
std,0.0,4.455670482437197e-16,4.455670482437197e-16,8.911340964874394e-16,0.0046178461766561004,0.0,0.0017941774850003336,0.0,0.0,0.0
min,0.0,3.41,3.34,3.33,3.33,0.0,3.516,0.0,65535.0,21.0
25%,0.0,3.41,3.34,3.33,3.33,0.0,3.517,0.0,65535.0,21.0
50%,0.0,3.41,3.34,3.33,3.33,0.0,3.517,0.0,65535.0,21.0
75%,0.0,3.41,3.34,3.33,3.34,0.0,3.518,0.0,65535.0,21.0
max,0.0,3.41,3.34,3.33,3.34,0.0,3.524,0.0,65535.0,21.0
