,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,817.0,817.0,817.0,817.0,817.0,817.0,817.0
mean,5.978188494492044,3.8765116279069765,3.7795104039167686,3.6894614443084457,3.774626682986536,3.999963280293758,3.8899632802937574
std,0.04496347880541035,0.00615945585980023,0.009075133119446303,0.010131672063078728,0.011273729783178883,0.005472849475670633,0.0006052248091605794
min,5.87,3.85,3.75,3.66,3.74,3.98,3.88
25%,5.95,3.87,3.77,3.68,3.77,3.996,3.89
50%,5.98,3.88,3.78,3.69,3.77,4.0,3.89
75%,6.01,3.88,3.79,3.7,3.78,4.004,3.89
max,6.08,3.9,3.81,3.72,3.81,4.023,3.89
