,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0
mean,0.004787644787644788,4.28,4.209999999999999,4.200000000000002,0.0,0.0,4.306737451737453,0.0,571.0,21.0
std,0.007741792468997412,0.0,8.898980310287494e-16,1.779796062057499e-15,0.0,0.0,0.0008168447475831839,0.0,0.0,0.0
min,0.0,4.28,4.21,4.2,0.0,0.0,4.305,0.0,571.0,21.0
25%,0.0,4.28,4.21,4.2,0.0,0.0,4.307,0.0,571.0,21.0
50%,0.0,4.28,4.21,4.2,0.0,0.0,4.307,0.0,571.0,21.0
75%,0.01,4.28,4.21,4.2,0.0,0.0,4.307,0.0,571.0,21.0
max,0.03,4.28,4.21,4.2,0.0,0.0,4.308,0.0,571.0,21.0
