,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0
mean,0.012589641434262949,4.269999999999998,4.200000000000001,4.1899999999999995,0.0,0.0,4.297545816733068,0.0,571.0,21.0
std,0.013329175978691116,1.7799060074530854e-15,8.899530037265427e-16,8.899530037265427e-16,0.0,0.0,0.0009470440487531558,0.0,0.0,0.0
min,0.0,4.27,4.2,4.19,0.0,0.0,4.296,0.0,571.0,21.0
25%,0.0,4.27,4.2,4.19,0.0,0.0,4.296,0.0,571.0,21.0
50%,0.01,4.27,4.2,4.19,0.0,0.0,4.298,0.0,571.0,21.0
75%,0.02,4.27,4.2,4.19,0.0,0.0,4.298,0.0,571.0,21.0
max,0.05,4.27,4.2,4.19,0.0,0.0,4.299,0.0,571.0,21.0
