,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
mean,0.0,3.75,3.68,3.670000000000001,3.670229357798166,0.0,3.867266055045871,0.0,65535.0,21.0
std,0.0,0.0,0.0,8.902225614596092e-16,0.001500433286256284,0.0,0.0005538670394749543,0.0,0.0,0.0
min,0.0,3.75,3.68,3.67,3.67,0.0,3.866,0.0,65535.0,21.0
25%,0.0,3.75,3.68,3.67,3.67,0.0,3.867,0.0,65535.0,21.0
50%,0.0,3.75,3.68,3.67,3.67,0.0,3.867,0.0,65535.0,21.0
75%,0.0,3.75,3.68,3.67,3.67,0.0,3.868,0.0,65535.0,21.0
max,0.0,3.75,3.68,3.67,3.68,0.0,3.868,0.0,65535.0,21.0
