,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0
mean,3.144654088050314e-05,4.2460377358490575,4.172798742138365,4.166981132075471,4.170314465408806,0.0,4.381380503144654,0.0,65535.0,21.0
std,0.0005607721540920443,0.0048988336891141095,0.004496447773168269,0.00459799942522412,0.00174796272502419,0.0,0.002042883407517363,0.0,0.0,0.0
min,0.0,4.24,4.17,4.16,4.17,0.0,4.379,0.0,65535.0,21.0
25%,0.0,4.24,4.17,4.16,4.17,0.0,4.38,0.0,65535.0,21.0
50%,0.0,4.25,4.17,4.17,4.17,0.0,4.381,0.0,65535.0,21.0
75%,0.0,4.25,4.18,4.17,4.17,0.0,4.382,0.0,65535.0,21.0
max,0.01,4.25,4.18,4.17,4.18,0.0,4.387,0.0,65535.0,21.0
