,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],outlet_pressure[Bar],PT0106
count,776.0,776.0,776.0,776.0,776.0,776.0,776.0
mean,13.48438144329897,3.390090206185567,3.200979381443299,2.8263917525773192,3.1955412371134018,3.4996030927835053,3.399974226804123
std,0.057461382182308306,0.004963568639079349,0.005663199836760774,0.0059564989951605835,0.007498187343306262,0.003908262971526559,0.0005073454458224001
min,13.31,3.38,3.19,2.81,3.17,3.487,3.39
25%,13.45,3.39,3.2,2.82,3.19,3.497,3.4
50%,13.48,3.39,3.2,2.83,3.2,3.5,3.4
75%,13.52,3.39,3.2,2.83,3.2,3.502,3.4
max,13.64,3.4,3.22,2.84,3.22,3.51,3.4
