,FT0101[l/m],PT0102[Bar],PT0201[Bar],PT0202[Bar],PT0203[Bar],p,outlet_pressure[Bar],p_lo_min[W],p_lo_max[W],pump_output_control_
count,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0
mean,0.010852272727272728,4.259999999999999,4.19,4.179943181818181,0.0,0.0,4.289000000000001,0.0,571.0,21.0
std,0.013043259691374062,8.907124574307214e-16,0.0,0.0007537783614443928,0.0,0.0,0.00038544964466373017,0.0,0.0,0.0
min,0.0,4.26,4.19,4.17,0.0,0.0,4.288,0.0,571.0,21.0
25%,0.0,4.26,4.19,4.18,0.0,0.0,4.289,0.0,571.0,21.0
50%,0.01,4.26,4.19,4.18,0.0,0.0,4.289,0.0,571.0,21.0
75%,0.02,4.26,4.19,4.18,0.0,0.0,4.289,0.0,571.0,21.0
max,0.05,4.26,4.19,4.18,0.0,0.0,4.29,0.0,571.0,21.0
